survey_round,variable,fct_source,rolling_1y_target,rolling_1y_forecast,rolling_2y_target,rolling_2y_forecast,next_year_target,next_year_forecast,current_year_target,current_year_forecast,survey_year,survey_quarter
1999Q1,HICP,1,1999Dec,1.2,2000Dec,1.7,2000,1.5,1999,1.0,1999,1
1999Q1,HICP,2,1999Dec,1.2,2000Dec,1.2,2000,1.2,1999,1.0,1999,1
1999Q1,HICP,3,1999Dec,0.8,2000Dec,1.2,2000,1.0,1999,0.8,1999,1
1999Q1,HICP,4,1999Dec,1.3,2000Dec,1.8,2000,1.6,1999,1.2,1999,1
1999Q1,HICP,5,1999Dec,1.1,2000Dec,1.5,2000,1.4,1999,0.8,1999,1
1999Q1,HICP,6,1999Dec,1.1,2000Dec,1.3,2000,1.3,1999,0.9,1999,1
1999Q1,HICP,7,1999Dec,0.8,2000Dec,0.8,2000,0.8,1999,0.8,1999,1
1999Q1,HICP,9,1999Dec,0.6,2000Dec,0.7,2000,0.6,1999,0.7,1999,1
1999Q1,HICP,10,1999Dec,1.1,2000Dec,1.6,2000,1.3,1999,1.2,1999,1
1999Q1,HICP,11,1999Dec,1.5,2000Dec,1.6,2000,1.5,1999,1.2,1999,1
1999Q1,HICP,14,1999Dec,1.3,2000Dec,1.7,2000,1.5,1999,1.0,1999,1
1999Q1,HICP,16,1999Dec,1.6,2000Dec,2.0,2000,1.8,1999,1.2,1999,1
1999Q1,HICP,17,1999Dec,1.5,2000Dec,2.0,2000,1.7,1999,1.2,1999,1
1999Q1,HICP,18,1999Dec,1.0,2000Dec,1.2,2000,1.1,1999,0.8,1999,1
1999Q1,HICP,19,1999Dec,1.0,2000Dec,1.2,2000,1.0,1999,0.8,1999,1
1999Q1,HICP,20,1999Dec,0.9,2000Dec,1.5,2000,1.4,1999,0.8,1999,1
1999Q1,HICP,23,1999Dec,1.4,2000Dec,2.1,2000,1.9,1999,1.1,1999,1
1999Q1,HICP,24,1999Dec,1.4,2000Dec,2.1,2000,1.8,1999,1.3,1999,1
1999Q1,HICP,26,1999Dec,1.4,2000Dec,1.6,2000,1.5,1999,1.2,1999,1
1999Q1,HICP,28,1999Dec,1.2,2000Dec,1.0,2000,1.0,1999,1.0,1999,1
1999Q1,HICP,29,1999Dec,1.1,2000Dec,1.4,2000,1.3,1999,1.0,1999,1
1999Q1,HICP,31,1999Dec,1.7,2000Dec,1.9,2000,1.7,1999,1.4,1999,1
1999Q1,HICP,32,1999Dec,1.2,2000Dec,1.8,2000,1.5,1999,1.0,1999,1
1999Q1,HICP,33,1999Dec,1.6,2000Dec,2.0,2000,1.8,1999,1.4,1999,1
1999Q1,HICP,34,1999Dec,1.5,2000Dec,1.8,2000,1.6,1999,1.4,1999,1
1999Q1,HICP,35,1999Dec,1.8,,,,,1999,1.2,1999,1
1999Q1,HICP,36,1999Dec,1.2,2000Dec,1.4,2000,1.3,1999,1.0,1999,1
1999Q1,HICP,37,1999Dec,1.8,2000Dec,2.1,2000,1.9,1999,1.5,1999,1
1999Q1,HICP,38,1999Dec,1.2,2000Dec,1.6,2000,1.4,1999,1.0,1999,1
1999Q1,HICP,39,1999Dec,1.3,2000Dec,1.6,2000,1.6,1999,1.1,1999,1
1999Q1,HICP,40,1999Dec,1.1,2000Dec,1.4,2000,1.2,1999,0.9,1999,1
1999Q1,HICP,43,1999Dec,0.6,2000Dec,0.9,2000,0.7,1999,0.5,1999,1
1999Q1,HICP,45,,,,,2000,1.3,1999,1.2,1999,1
1999Q1,HICP,46,1999Dec,0.71,2000Dec,0.53,2000,0.64,1999,0.68,1999,1
1999Q1,HICP,47,1999Dec,1.0,2000Dec,1.5,2000,1.2,1999,0.9,1999,1
1999Q1,HICP,50,1999Dec,0.4,2000Dec,1.3,2000,0.3,1999,0.6,1999,1
1999Q1,HICP,52,1999Dec,1.0,2000Dec,1.5,2000,1.3,1999,1.0,1999,1
1999Q1,HICP,53,1999Dec,1.4,2000Dec,1.6,2000,1.5,1999,1.4,1999,1
1999Q1,HICP,54,1999Dec,0.8,2000Dec,1.1,2000,1.0,1999,0.7,1999,1
1999Q1,HICP,55,1999Dec,1.1,2000Dec,1.7,2000,1.6,1999,0.8,1999,1
1999Q1,HICP,56,1999Dec,0.9,2000Dec,1.2,2000,1.1,1999,0.8,1999,1
1999Q1,HICP,59,1999Dec,1.4,2000Dec,1.6,2000,1.4,1999,1.1,1999,1
1999Q1,HICP,60,1999Dec,1.4,2000Dec,1.8,2000,1.6,1999,1.2,1999,1
1999Q1,HICP,61,1999Dec,1.5,2000Dec,2.0,2000,1.8,1999,1.2,1999,1
1999Q1,HICP,62,,,,,2000,1.4,1999,1.2,1999,1
1999Q1,HICP,63,1999Dec,1.4,2000Dec,1.9,2000,1.7,1999,1.2,1999,1
1999Q1,HICP,64,1999Dec,1.1,2000Dec,1.4,2000,1.2,1999,1.0,1999,1
1999Q1,HICP,65,1999Dec,0.9,2000Dec,1.4,2000,1.2,1999,0.8,1999,1
1999Q1,HICP,67,1999Dec,0.8,2000Dec,1.6,2000,1.4,1999,1.0,1999,1
